start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
250,248,Victoria Quay,Bristo Square,55.97762,-3.17413,55.94583,-3.18905,1
250,250,Victoria Quay,Victoria Quay,55.97762,-3.17413,55.97762,-3.17413,1
250,258,Victoria Quay,Stockbridge,55.97762,-3.17413,55.95857,-3.20807,1
250,262,Victoria Quay,Canonmills,55.97762,-3.17413,55.9628,-3.19628,1
250,265,Victoria Quay,Meadows East,55.97762,-3.17413,55.93981,-3.18274,1
250,285,Victoria Quay,Ocean Terminal,55.97762,-3.17413,55.98129,-3.17635,2
250,1720,Victoria Quay,Dundas Street,55.97762,-3.17413,55.96076,-3.20128,3
250,1728,Victoria Quay,Portobello - Kings Road,55.97762,-3.17413,55.95792,-3.11833,3
250,1730,Victoria Quay,East London Street,55.97762,-3.17413,55.95995,-3.1872,1
250,1752,Victoria Quay,IGMM - Western General,55.97762,-3.17413,55.96264,-3.23192,2
250,1763,Victoria Quay,Comely Bank Road,55.97762,-3.17413,55.95941,-3.21566,1
250,1800,Victoria Quay,Joppa,55.97762,-3.17413,55.94895,-3.09473,2
250,1814,Victoria Quay,Abbeyhill,55.97762,-3.17413,55.95525,-3.17222,4
250,1824,Victoria Quay,Duke Street,55.97762,-3.17413,55.96901,-3.16739,1
251,1728,Waverley Station,Portobello - Kings Road,55.95264,-3.18753,55.95792,-3.11833,1
252,171,Kings Buildings 1,George Square,55.92419,-3.17383,55.94308,-3.18831,1
252,265,Kings Buildings 1,Meadows East,55.92419,-3.17383,55.93981,-3.18274,1
252,1024,Kings Buildings 1,Meadow Place,55.92419,-3.17383,55.94024,-3.19464,1
252,1814,Kings Buildings 1,Abbeyhill,55.92419,-3.17383,55.95525,-3.17222,1
253,265,Kings Building 2,Meadows East,55.9232,-3.17165,55.93981,-3.18274,1
253,358,Kings Building 2,Leith Walk,55.9232,-3.17165,55.96504,-3.17669,1
253,1019,Kings Building 2,Grassmarket,55.9232,-3.17165,55.9471,-3.19725,1
