start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
189,1770,City Chambers,Ellersly Road,55.95011,-3.19026,55.94505,-3.25088,1
189,1814,City Chambers,Abbeyhill,55.95011,-3.19026,55.95525,-3.17222,2
189,2265,City Chambers,Musselburgh Brunton Hall,55.95011,-3.19026,55.94396,-3.05831,1
189,2268,City Chambers,Picardy Place,55.95011,-3.19026,55.95654,-3.18625,3
225,183,Waverley Court,Waverley Bridge,55.95173,-3.18418,55.95198,-3.19189,1
225,225,Waverley Court,Waverley Court,55.95173,-3.18418,55.95173,-3.18418,3
225,1092,Waverley Court,Dalry Road Lidl,55.95173,-3.18418,55.94179,-3.22242,1
225,1738,Waverley Court,Wester Coates Terrace,55.95173,-3.18418,55.94565,-3.23185,1
225,1769,Waverley Court,Brunswick Place,55.95173,-3.18418,55.96085,-3.18099,1
225,1814,Waverley Court,Abbeyhill,55.95173,-3.18418,55.95525,-3.17222,2
225,2268,Waverley Court,Picardy Place,55.95173,-3.18418,55.95654,-3.18625,1
246,171,Royal Commonwealth Pool,George Square,55.939,-3.17392,55.94308,-3.18831,1
246,183,Royal Commonwealth Pool,Waverley Bridge,55.939,-3.17392,55.95198,-3.19189,1
246,189,Royal Commonwealth Pool,City Chambers,55.939,-3.17392,55.95011,-3.19026,1
246,246,Royal Commonwealth Pool,Royal Commonwealth Pool,55.939,-3.17392,55.939,-3.17392,1
246,248,Royal Commonwealth Pool,Bristo Square,55.939,-3.17392,55.94583,-3.18905,2
246,253,Royal Commonwealth Pool,Kings Building 2,55.939,-3.17392,55.9232,-3.17165,2
246,254,Royal Commonwealth Pool,Kings Building 3,55.939,-3.17392,55.92348,-3.17538,2
246,358,Royal Commonwealth Pool,Leith Walk,55.939,-3.17392,55.96504,-3.17669,2
246,1017,Royal Commonwealth Pool,Crichton Street,55.939,-3.17392,55.94478,-3.18691,1
246,1042,Royal Commonwealth Pool,Kings Buildings - Murchison House,55.939,-3.17392,55.92446,-3.17873,2
246,1050,Royal Commonwealth Pool,EICC,55.939,-3.17392,55.94607,-3.2104,1
246,1052,Royal Commonwealth Pool,Surgeons Hall,55.939,-3.17392,55.94664,-3.18547,3
246,1091,Royal Commonwealth Pool,Holyrood Road,55.939,-3.17392,55.94956,-3.18041,4
246,1721,Royal Commonwealth Pool,Tollcross,55.939,-3.17392,55.94425,-3.2031,1
246,1726,Royal Commonwealth Pool,Simon Square,55.939,-3.17392,55.94486,-3.18259,3
246,1727,Royal Commonwealth Pool,Causewayside,55.939,-3.17392,55.93651,-3.18017,1
246,1728,Royal Commonwealth Pool,Portobello - Kings Road,55.939,-3.17392,55.95792,-3.11833,4
246,1729,Royal Commonwealth Pool,McDonald Road,55.939,-3.17392,55.96403,-3.18518,1
246,1756,Royal Commonwealth Pool,Western General Hospital,55.939,-3.17392,55.96284,-3.23414,1
246,1763,Royal Commonwealth Pool,Comely Bank Road,55.939,-3.17392,55.95941,-3.21566,4
246,1767,Royal Commonwealth Pool,Bruntsfield Links,55.939,-3.17392,55.93712,-3.20643,3
246,1808,Royal Commonwealth Pool,Gorgie Road,55.939,-3.17392,55.93874,-3.22991,1
246,1814,Royal Commonwealth Pool,Abbeyhill,55.939,-3.17392,55.95525,-3.17222,1
246,1818,Royal Commonwealth Pool,Dynamic Earth,55.939,-3.17392,55.95109,-3.17572,2
247,183,Charlotte Square,Waverley Bridge,55.95234,-3.2071,55.95198,-3.19189,5
247,189,Charlotte Square,City Chambers,55.95234,-3.2071,55.95011,-3.19026,1
247,247,Charlotte Square,Charlotte Square,55.95234,-3.2071,55.95234,-3.2071,2
