0,16.09,22.04,0,1,2
1,21.15,28.56,0,2,1
2,15.41,23.62,0,2,1
4,16.62,23.32,0,2,1
6,18.01,27.05,0,1,2
3,16.18,22.31,0,2,1
7,25.7,41.75,0,2,1
5,27.47,38.44,0,2,1
9,19.29,30.21,0,2,1
11,26.06,42.75,0,2,1
8,21.21,37.78,0,2,1
10,19.3,30.54,0,2,1
14,26.11,42.81,0,2,1
12,21.44,38.44,0,2,1
15,21.36,36.13,0,1,2
13,18.98,29.03,0,1,2
16,19.31,29.99,0,1,2
17,20.46,32.43,0,1,2
20,22.25,40.51,0,1,2
23,22.07,37.94,0,1,2
21,21.89,37.24,0,1,2
19,26.41,43.7,0,2,1
22,19.57,30.8,0,2,1
18,19.57,30.8,0,2,1
24,20.43,32.87,0,2,1
25,21.51,38.37,0,2,1
26,21.94,39.59,0,2,1
28,21.95,39.74,0,2,1
27,21.36,36.24,0,1,2
30,20.52,33.15,0,2,1
29,22.69,41.39,0,2,1
31,22.28,38.25,0,2,1
32,20.53,32.93,0,2,1
33,22.08,39.96,0,2,1
34,20.91,33.92,0,2,1
36,21.84,37.19,0,2,1
35,21.0,34.77,0,2,1
37,22.33,40.69,0,1,2
39,22.42,40.81,0,1,2
38,22.26,38.21,0,2,1
40,23.45,41.13,0,1,2
41,22.44,38.2,0,1,2
43,23.9,44.45,0,1,2
44,23.4,43.19,0,1,2
42,21.8,37.09,0,2,1
45,21.84,36.57,0,2,1
46,21.65,35.69,0,2,1
47,21.47,35.13,0,2,1
48,23.15,40.2,0,2,1
49,23.84,42.16,0,2,1
51,24.54,45.94,0,1,2
50,24.36,45.78,0,2,1
52,22.32,37.31,0,2,1
54,22.3,37.32,0,2,1
53,23.86,41.97,0,2,1
55,24.48,43.76,0,2,1
56,23.23,39.97,0,2,1
57,23.32,40.46,0,2,1
62,23.47,40.11,0,2,1
60,23.32,39.9,0,2,1
61,23.04,36.67,0,1,2
58,24.57,43.18,0,2,1
59,25.05,47.2,0,1,2
63,25.06,44.97,0,2,1
64,32.96,47.71,0,2,1
65,24.99,44.77,0,2,1
67,33.04,47.88,0,2,1
70,26.69,49.07,0,2,1
68,33.4,48.99,0,2,1
66,24.08,42.33,0,2,1
69,23.93,41.56,0,2,1
71,24.08,41.62,0,2,1
72,26.15,47.66,0,2,1
73,26.73,49.06,0,2,1
79,27.99,52.13,0,2,1
76,25.85,43.72,0,1,2
