trip_index,station1,station2,distance,duration,node0,node1,node2
146,2263,1798,21.22,36.59,0,2,1
147,2263,248,21.38,39.19,0,1,2
148,2263,189,22.41,39.52,0,1,2
149,2263,183,21.39,36.58,0,1,2
150,2263,259,20.76,35.47,0,2,1
151,2263,1098,22.86,42.83,0,1,2
152,2263,1024,22.36,41.57,0,1,2
153,2263,1745,20.8,34.95,0,2,1
154,2263,1743,20.6,34.07,0,2,1
155,2263,262,20.42,33.51,0,2,1
156,2263,1019,22.1,38.58,0,2,1
157,2263,260,22.8,40.54,0,2,1
158,2263,1051,23.32,44.16,0,2,1
159,2263,1768,23.5,44.32,0,1,2
160,2263,1720,21.28,35.69,0,2,1
161,2263,296,22.81,40.35,0,2,1
162,2263,1737,21.26,35.7,0,2,1
163,2263,1721,23.44,42.14,0,2,1
164,2263,289,22.19,38.35,0,2,1
165,2263,1031,22.28,38.84,0,2,1
166,2263,1039,23.53,41.56,0,2,1
167,2263,1767,24.01,45.58,0,1,2
168,2263,247,22.28,38.28,0,2,1
169,2263,1038,22,35.06,0,1,2
170,2263,258,22.42,38.49,0,2,1
171,2263,249,24.02,43.35,0,2,1
172,2263,1744,32.51,46.74,0,2,1
173,2263,1050,23.95,43.16,0,2,1
174,2263,1821,23.04,40.71,0,2,1
175,2263,1748,32.59,46.91,0,2,1
176,2263,1809,32.94,48.02,0,2,1
177,2263,1749,22.89,39.94,0,2,1
178,2263,1823,25.65,47.45,0,2,1
179,2263,1763,23.04,40,0,2,1
180,2263,1102,25.11,46.04,0,2,1
181,2263,1025,25.69,47.44,0,2,1
182,2263,1092,26.18,48.17,0,2,1
183,2263,1765,25.2,46.21,0,2,1
184,2263,1753,24.81,42.1,0,1,2
185,2263,349,24.23,42.31,0,2,1
186,2263,1093,25.32,45.12,0,2,1
187,2263,1808,26.95,50.51,0,2,1
188,2263,1738,26.19,47.83,0,2,1
189,2263,1752,25.52,42.46,0,2,1
190,2263,1757,35.29,50.9,0,2,1
191,2263,1756,25.87,43.61,0,1,2
192,2263,1055,26.72,49.06,0,2,1
193,2263,1754,27.4,50.55,0,2,1
194,2263,1764,27.11,45.02,0,1,2
195,2263,1799,27.83,50.61,0,2,1
196,2263,1770,28.7,52.16,0,2,1
197,2263,1766,40.5,52.5,0,2,1
198,2263,1725,43.61,54.72,0,2,1
199,2263,1747,43.64,55.1,0,2,1
200,2263,1815,43.85,55.13,0,2,1
201,2263,1722,47.02,58.42,0,2,1
202,2263,1807,45.45,54.11,0,2,1
203,2263,1822,45.49,53.36,0,1,2
204,2263,1859,45.97,56.45,0,2,1
205,2263,1819,60.21,57.4,0,1,2
206,2263,1820,62.71,62.2,0,1,2
207,2263,1860,50.43,60.17,0,1,2
208,2263,1864,58.04,68.01,0,2,1
209,2263,1865,56.83,64.64,0,2,1
210,2263,1870,56.62,64.13,0,2,1
211,2263,1871,61.27,67.89,0,2,1
212,2263,1866,64.71,68.28,0,2,1
213,2263,1874,66.2,69.04,0,2,1
214,2263,1868,68.03,70.28,0,2,1
215,2263,1869,66.97,67.85,0,2,1
216,2263,1877,65.72,71.44,0,2,1
217,1758,1800,20.47,28.3,0,2,1
218,1758,1813,20.14,25.28,0,1,2
219,1758,1728,20.04,25.5,0,2,1
220,1758,1739,26.95,36.65,0,1,2
221,1758,1824,21.43,29.23,0,1,2
222,1758,253,30.09,41.75,0,1,2
223,1758,264,24.54,39.98,0,1,2
224,1758,1814,22.71,32.39,0,2,1
225,1758,2259,22.72,32.72,0,2,1
226,1758,252,30.45,42.75,0,1,2
227,1758,246,24.76,40.64,0,1,2
228,1758,250,22.4,31.21,0,1,2
229,1758,254,30.49,42.81,0,1,2
230,1758,1818,24.78,38.31,0,1,2
231,1758,1090,22.73,32.17,0,1,2
232,1758,285,23.88,34.61,0,1,2
233,1758,358,22.99,32.97,0,2,1
234,1758,1042,30.8,43.7,0,1,2
235,1758,1727,27.27,41.67,0,1,2
236,1758,1091,25.31,39.42,0,1,2
237,1758,1769,22.99,32.97,0,2,1
238,1758,1731,26.56,39.99,0,1,2
239,1758,256,23.85,35.05,0,2,1
240,1758,1726,26.63,39.99,0,1,2
241,1758,265,27.06,41.3,0,1,2
242,1758,225,24.78,38.42,0,1,2
243,1758,1096,27.07,41.48,0,1,2
244,1758,1097,27.64,42.62,0,1,2
245,1758,1729,23.94,35.33,0,2,1
246,1758,1052,25.7,40.43,0,2,1
247,1758,2268,23.95,35.11,0,2,1
248,1758,1017,27.15,41.57,0,1,2
249,1758,1730,24.33,36.1,0,2,1
250,1758,251,24.42,36.95,0,2,1
251,1758,1028,25.26,39.37,0,2,1
252,1758,171,27.48,42.3,0,1,2
253,1758,1798,25.68,40.39,0,2,1
254,1758,248,27.57,42.42,0,1,2
255,1758,189,26.87,43.31,0,1,2
256,1758,183,25.86,40.38,0,1,2
257,1758,259,25.22,39.26,0,2,1
258,1758,1098,29.09,45.53,0,1,2
259,1758,1024,28.56,44.8,0,1,2
260,1758,1745,25.26,38.75,0,2,1
261,1758,1743,25.07,37.87,0,2,1
262,1758,262,24.89,37.31,0,2,1
263,1758,1019,26.56,42.38,0,2,1
264,1758,260,28.35,44.3,0,1,2
265,1758,1051,29.66,46.98,0,1,2
266,1758,1768,29.73,47.02,0,1,2
267,1758,1720,25.74,39.49,0,2,1
268,1758,296,27.28,44.15,0,2,1
269,1758,1737,25.72,39.5,0,2,1
270,1758,1721,27.9,45.93,0,2,1
271,1758,289,26.65,42.15,0,2,1
272,1758,1031,26.74,42.64,0,2,1
273,1758,1039,27.99,45.36,0,2,1
274,1758,1767,32.63,46.16,0,1,2
275,1758,247,26.74,42.08,0,2,1
276,1758,1038,26.46,38.85,0,1,2
277,1758,258,26.88,42.29,0,2,1
278,1758,249,28.48,47.15,0,2,1
279,1758,1744,32.6,46.29,0,1,2
280,1758,1050,28.41,46.95,0,2,1
281,1758,1821,27.5,44.5,0,2,1
282,1758,1748,32.76,46.72,0,1,2
283,1758,1809,33.09,47.78,0,1,2
284,1758,1749,27.35,43.74,0,2,1
285,1758,1823,33.8,48.99,0,1,2
286,1758,1763,27.5,43.8,0,2,1
287,1758,1102,29.57,49.83,0,2,1
288,1758,1025,33.56,48.41,0,1,2
289,1758,1092,35.46,49.84,0,1,2
290,1758,1765,29.66,50.01,0,2,1
291,1758,1753,29.27,45.9,0,1,2
292,1758,349,28.69,46.11,0,2,1
