station_id,t
1722,11
1866,11
1874,11
1747,11
1722,12
1815,12
1860,12
1747,12
1870,12
1722,13
1819,13
1807,13
1866,13
1869,14
1815,14
1866,14
1860,14
1874,14
1722,15
1819,15
1815,15
1868,15
1870,15
1722,16
1807,16
1815,16
1725,16
1874,16
1870,16
1807,17
1815,17
1725,17
1860,17
1747,17
1870,17
1869,18
1819,18
1860,18
1874,18
1747,18
1870,18
1819,19
1860,19
1874,19
1722,20
1870,20
1722,21
1815,21
1819,22
1874,22
