,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
958,264,264,Pollock Halls,Pollock Halls,55.94008064125911,-3.171746866852459,55.94008064125911,-3.171746866852459,36
1148,289,289,Castle Street,Castle Street,55.95150073734976,-3.2031839065252825,55.95150073734976,-3.2031839065252825,35
3884,1800,1800,Joppa,Joppa,55.94894930668582,-3.094727261654725,55.94894930668582,-3.094727261654725,35
1547,1025,253,Dundee Terrace,Kings Building 2,55.93970989541296,-3.2205889336679547,55.92320215516664,-3.1716462453634904,34
787,259,358,St Andrew Square,Leith Walk,55.95490573198223,-3.192443756949956,55.965039805077325,-3.1766864147848537,34
3422,1757,1823,Meggetland,Boroughmuir,55.92758664038103,-3.2336710530441906,55.94007146917616,-3.2153358406880836,34
978,264,1728,Pollock Halls,Portobello - Kings Road,55.94008064125911,-3.171746866852459,55.957915406923476,-3.118332042090288,33
726,258,250,Stockbridge,Victoria Quay,55.958565585897226,-3.2080701822277438,55.97761715254634,-3.174126319457628,32
374,248,1024,Bristo Square,Meadow Place,55.945833715992855,-3.1890530720754664,55.940237631689435,-3.194640214184801,32
3093,1744,1744,Morningside Road,Morningside Road,55.92798534979654,-3.209749771944871,55.92798534979654,-3.209749771944871,31
2850,1730,1730,East London Street,East London Street,55.95995414501485,-3.1871977585476543,55.95995414501485,-3.1871977585476543,31
430,249,249,Fountainbridge,Fountainbridge,55.94335692764551,-3.2092475016246453,55.94335692764551,-3.2092475016246453,31
780,259,259,St Andrew Square,St Andrew Square,55.95490573198223,-3.192443756949956,55.95490573198223,-3.192443756949956,31
834,259,1824,St Andrew Square,Duke Street,55.95490573198223,-3.192443756949956,55.96901164826488,-3.16739470303429,30
1070,265,1767,Meadows East,Bruntsfield Links,55.939809466328285,-3.182738850746431,55.9371232399911,-3.206431879393449,30
356,248,248,Bristo Square,Bristo Square,55.945833715992855,-3.1890530720754664,55.945833715992855,-3.1890530720754664,29
1949,1052,1052,Surgeons Hall,Surgeons Hall,55.946642799617116,-3.1854745859388918,55.946642799617116,-3.1854745859388918,29
2459,1720,1720,Dundas Street,Dundas Street,55.9607624081837,-3.201278014771333,55.9607624081837,-3.201278014771333,29
4383,1869,1869,Hopetoun Road,Hopetoun Road,55.990182146207864,-3.4046039242787174,55.990182146207864,-3.4046039242787174,28
367,248,265,Bristo Square,Meadows East,55.945833715992855,-3.1890530720754664,55.939809466328285,-3.182738850746431,28
1334,358,1824,Leith Walk,Duke Street,55.965039805077325,-3.1766864147848537,55.96901164826488,-3.16739470303429,28
2239,1096,265,West Crosscauseway,Meadows East,55.9438359841253,-3.1849514084976818,55.939809466328285,-3.182738850746431,28
